epoch,train_loss,train_acc,val_loss,val_acc
1,0.7196,0.5327,0.6805,0.5385
2,0.7068,0.5404,0.7013,0.4346
3,0.6998,0.5317,0.7313,0.4346
4,0.6904,0.5683,0.7486,0.5231
5,0.6956,0.5308,0.7318,0.5538
6,0.6920,0.5298,0.7080,0.5385
7,0.6932,0.5519,0.7234,0.5423
8,0.7020,0.5385,0.7843,0.5808
9,0.7019,0.5212,0.6854,0.5692
10,0.6928,0.5433,0.7162,0.5538
11,0.6930,0.5356,0.6898,0.5654
12,0.6961,0.5337,0.6838,0.5154
13,0.6899,0.5356,0.6805,0.5731
14,0.6888,0.5596,0.6887,0.5308
15,0.6917,0.5423,0.6886,0.5308
16,0.6875,0.5471,0.6951,0.5423
17,0.6909,0.5308,0.6746,0.4962
18,0.6891,0.5365,0.7045,0.5462
19,0.6842,0.5538,0.7499,0.5385
20,0.6871,0.5596,0.7588,0.5462
21,0.6872,0.5596,0.6883,0.5462
22,0.6844,0.5615,0.6862,0.5615
23,0.6847,0.5481,0.7004,0.5577
24,0.6837,0.5490,0.6826,0.5538
25,0.6811,0.5692,0.6832,0.5308
26,0.6813,0.5587,0.6760,0.5731
27,0.6831,0.5558,0.6770,0.5385
28,0.6754,0.5625,0.6707,0.5385
29,0.6847,0.5462,0.6799,0.5577
30,0.6780,0.5692,0.6948,0.5538
31,0.6813,0.5606,0.6757,0.5577
32,0.6708,0.5683,0.6762,0.5846
33,0.6765,0.5856,0.6937,0.5269
34,0.6708,0.5788,0.6850,0.5731
35,0.6705,0.5827,0.6709,0.5538
36,0.6759,0.5606,0.6780,0.5808
37,0.6689,0.6019,0.6809,0.5538
38,0.6753,0.5769,0.6734,0.6038
39,0.6719,0.5731,0.6778,0.5731
40,0.6593,0.6010,0.6604,0.5808
41,0.6573,0.6038,0.6756,0.5731
42,0.6536,0.6144,0.6836,0.5538
43,0.6425,0.6221,0.7016,0.5269
44,0.6462,0.6231,0.6471,0.6077
45,0.6277,0.6510,0.6333,0.6654
46,0.6335,0.6250,0.6321,0.6231
47,0.6183,0.6577,0.6445,0.6385
48,0.6091,0.6750,0.6435,0.6346
49,0.5955,0.6865,0.6479,0.6462
50,0.6034,0.6644,0.6568,0.6192
51,0.5775,0.7029,0.6310,0.6615
52,0.5717,0.7019,0.6388,0.6692
53,0.5609,0.7337,0.6659,0.6423
54,0.5407,0.7298,0.6218,0.6500
55,0.5443,0.7452,0.6362,0.6462
56,0.5184,0.7625,0.6334,0.6731
57,0.4817,0.7788,0.6700,0.6500
58,0.5004,0.7567,0.6610,0.6615
59,0.4345,0.8192,0.6159,0.6462
60,0.4584,0.7885,0.6413,0.6577
61,0.4216,0.8269,0.6945,0.6615
62,0.4115,0.8231,0.6344,0.6731
63,0.3647,0.8510,0.6871,0.6615
64,0.3676,0.8404,0.9788,0.5154
65,0.4001,0.8202,0.6444,0.6885
66,0.3154,0.8779,0.7507,0.6731
67,0.3492,0.8567,0.6803,0.6615
68,0.2769,0.8894,0.7880,0.6615
69,0.2895,0.8875,0.6901,0.6808
70,0.3273,0.8644,0.7298,0.6500
71,0.2638,0.9067,0.6176,0.7077
72,0.2436,0.9087,0.6344,0.6769
73,0.2299,0.9221,0.6520,0.6808
74,0.2287,0.9163,0.6592,0.6769
75,0.1944,0.9279,0.6407,0.6846
76,0.2113,0.9221,0.6652,0.6962
77,0.1811,0.9356,0.6304,0.7115
78,0.1875,0.9346,0.6864,0.6885
79,0.1671,0.9452,0.6787,0.6846
80,0.1811,0.9356,0.7065,0.7000
81,0.1912,0.9346,0.6068,0.6923
82,0.2243,0.9192,0.6644,0.6962
83,0.2005,0.9231,0.8361,0.6731
84,0.1755,0.9356,0.6650,0.6885
85,0.1702,0.9442,0.6872,0.7115
86,0.2076,0.9125,0.6547,0.7000
87,0.1503,0.9500,0.6647,0.7077
88,0.1808,0.9260,0.6654,0.6962
89,0.1702,0.9385,0.7591,0.7000
90,0.1315,0.9500,0.7441,0.6808
91,0.1709,0.9298,0.7832,0.6808
92,0.1656,0.9288,0.6812,0.7077
93,0.1329,0.9500,0.6936,0.7115
94,0.1469,0.9433,0.6427,0.7038
95,0.0981,0.9721,0.6245,0.7269
96,0.1334,0.9490,0.6694,0.7000
97,0.1550,0.9413,0.6776,0.6692
98,0.1298,0.9558,0.7219,0.6808
99,0.1331,0.9519,0.6942,0.6923
100,0.1322,0.9500,0.6911,0.6962
101,0.0937,0.9673,0.6865,0.7154
102,0.0973,0.9721,0.6904,0.7038
103,0.1026,0.9635,0.6772,0.6846
104,0.1273,0.9510,0.6595,0.7038
105,0.1142,0.9587,0.6771,0.7000
106,0.1202,0.9625,0.7282,0.7192
107,0.1219,0.9510,0.6274,0.7231
108,0.1424,0.9413,0.7113,0.7038
109,0.1310,0.9471,0.6436,0.6962
110,0.0774,0.9779,0.6286,0.7192
111,0.1289,0.9500,0.6169,0.7115
112,0.1179,0.9567,0.6765,0.7077
113,0.1428,0.9442,0.6443,0.7038
114,0.0995,0.9596,0.6543,0.7154
115,0.1338,0.9433,0.6231,0.7115
116,0.0894,0.9692,0.6728,0.7192
117,0.1167,0.9462,0.6164,0.7231
118,0.1081,0.9567,0.6556,0.6885
119,0.1144,0.9519,0.6227,0.7115
120,0.0860,0.9702,0.6290,0.7269
121,0.1181,0.9452,0.6733,0.7154
122,0.1158,0.9510,0.6534,0.7038
123,0.1298,0.9394,0.6521,0.7115
124,0.1280,0.9462,0.6911,0.6885
125,0.1431,0.9365,0.6416,0.7115
126,0.0804,0.9654,0.6291,0.7231
127,0.1011,0.9558,0.6851,0.7231
128,0.0990,0.9625,0.6327,0.7192
129,0.0958,0.9606,0.6226,0.7269
130,0.1034,0.9510,0.6762,0.7192
131,0.0892,0.9683,0.7091,0.7077
132,0.0938,0.9625,0.6207,0.7154
133,0.1115,0.9577,0.6437,0.7154
134,0.1115,0.9500,0.6485,0.6923
135,0.0871,0.9606,0.6161,0.7385
136,0.1099,0.9548,0.6371,0.7269
137,0.1222,0.9462,0.6923,0.7000
138,0.1022,0.9577,0.6668,0.6923
139,0.0845,0.9692,0.6701,0.7077
140,0.0923,0.9625,0.6316,0.7038
141,0.1435,0.9385,0.6558,0.7115
142,0.0950,0.9606,0.6591,0.7038
143,0.1003,0.9567,0.7014,0.7077
144,0.0922,0.9635,0.6348,0.7192
145,0.1107,0.9510,0.6646,0.7038
146,0.0781,0.9692,0.6397,0.7115
147,0.0792,0.9692,0.6326,0.7154
148,0.0912,0.9596,0.6560,0.7038
149,0.1255,0.9433,0.6179,0.7231
150,0.1073,0.9587,0.6321,0.7231
151,0.0793,0.9683,0.6408,0.7231
152,0.1048,0.9529,0.6431,0.7154
153,0.0759,0.9731,0.6576,0.7038
154,0.0947,0.9654,0.6362,0.7000
155,0.0964,0.9625,0.6319,0.7077
156,0.1004,0.9519,0.6475,0.7231
157,0.0985,0.9587,0.6557,0.7231
158,0.1373,0.9452,0.6660,0.7077
159,0.0851,0.9663,0.6368,0.7346
160,0.1070,0.9577,0.6409,0.7154
161,0.0872,0.9625,0.6293,0.7192
162,0.0950,0.9635,0.6618,0.7192
163,0.1010,0.9548,0.6371,0.7115
164,0.1087,0.9538,0.6323,0.7115
165,0.0892,0.9673,0.6775,0.6962
166,0.0888,0.9654,0.7073,0.7077
167,0.0873,0.9596,0.6315,0.7000
168,0.1049,0.9587,0.6675,0.7154
169,0.1037,0.9510,0.6606,0.7269
170,0.0777,0.9712,0.6294,0.7154
171,0.1042,0.9577,0.6767,0.6962
172,0.1345,0.9365,0.6946,0.7192
173,0.1030,0.9596,0.6406,0.7308
174,0.0845,0.9663,0.6726,0.7269
175,0.1073,0.9538,0.6369,0.7192
176,0.1121,0.9510,0.6572,0.7077
177,0.0900,0.9673,0.6429,0.7115
178,0.1309,0.9404,0.6832,0.7154
179,0.1014,0.9558,0.6306,0.7269
180,0.0802,0.9712,0.6554,0.7000
181,0.0891,0.9712,0.6286,0.7308
182,0.0977,0.9644,0.6827,0.7077
183,0.0838,0.9683,0.6359,0.7269
184,0.1067,0.9567,0.6380,0.7154
185,0.1040,0.9471,0.6596,0.7038
186,0.0933,0.9625,0.6356,0.7115
